FTSE:2785.13:Moving down:-0.19:33330.19:29.62:30.05
FTSE:2785.97:Moving up:0.84:33330.19:29.62:30.05
FTSE:2785.13:Moving down:-0.84:33330.19:29.62:30.05
FTSE:2785.97:Moving up:0.84:33330.19:29.62:30.05
FTSE:2784.00:Moving down:-1.97:33330.19:29.62:30.05
FTSE:2784.21:Moving up:0.21:33330.19:29.62:30.05
FTSE:2783.86:Moving down:-0.35:33330.19:29.62:30.05
FTSE:2783.63:Moving down:-0.23:33330.19:29.62:30.05
FTSE:2783.67:Moving up:0.04:33330.19:29.62:30.05
FTSE:2784.10:Moving up:0.43:33330.19:29.62:30.05
FTSE:2784.84:Moving up:0.74:33330.19:29.62:30.05
FTSE:2785.35:Moving up:0.51:33330.19:29.62:30.05
FTSE:2785.22:Moving down:-0.13:33330.19:29.62:30.05
FTSE:2785.68:Moving up:0.46:33330.19:29.62:30.05
FTSE:2785.70:Moving up:0.02:33330.19:29.62:30.05
FTSE:2786.92:Moving up:1.22:33330.19:29.62:30.05
FTSE:2785.94:Moving down:-0.98:33330.19:29.62:30.05
FTSE:2784.96:Moving down:-0.98:33330.19:29.62:30.05
FTSE:2784.49:Moving down:-0.47:33330.19:29.62:30.05
FTSE:2783.59:Moving down:-0.90:33330.19:29.62:30.05
FTSE:2783.24:Moving down:-0.35:33330.19:29.62:30.05
FTSE:2783.79:Moving up:0.55:33330.19:29.62:30.05
FTSE:2783.96:Moving up:0.17:33330.19:29.62:30.05
FTSE:2782.92:Moving down:-1.04:33330.19:29.62:30.05
FTSE:2783.16:Moving up:0.24:33330.19:29.62:30.05
FTSE:2782.82:Moving down:-0.34:33330.19:29.62:30.05
FTSE:2735.08:Moving down:-47.74:33330.19:29.62:30.05
FTSE:2736.61:Moving up:1.53:33330.19:29.62:30.05
FTSE:2738.54:Moving up:1.93:33330.19:29.62:30.05
FTSE:2736.95:Moving down:-1.59:33330.19:29.62:30.05
FTSE:2737.90:Moving up:0.95:33330.19:29.62:30.05
FTSE:2740.74:Moving up:2.84:33330.19:29.62:30.05
FTSE:2738.89:Moving down:-1.85:33330.19:29.62:30.05
FTSE:2738.64:Moving down:-0.25:33330.19:29.62:30.05
FTSE:2738.56:Moving down:-0.08:33330.19:29.62:30.05
FTSE:2738.39:Moving down:-0.17:33330.19:29.62:30.05
FTSE:2738.39:Moving up:2738.39:33330.19:29.62:30.05
FTSE:2738.96:Moving up:0.57:33330.19:29.62:30.05
FTSE:2738.97:Moving up:0.01:33330.19:29.62:30.05
FTSE:2737.10:Moving down:-1.87:33330.19:29.62:30.05
FTSE:2737.69:Moving up:0.59:33330.19:29.62:30.05
FTSE:2737.84:Moving up:0.15:33330.19:29.62:30.05
FTSE:2736.58:Moving down:-1.26:33330.19:29.62:30.05
FTSE:2737.57:Moving up:0.99:33330.19:29.62:30.05
FTSE::Moving down:-2737.57:33330.19:29.62:30.05
FTSE:2737.57:Moving up:2737.57:33330.19:29.62:30.05
FTSE:2739.67:Moving up:2.10:33330.19:29.62:30.05
FTSE:2740.87:Moving up:1.20:33330.19:29.62:30.05
FTSE:2740.73:Moving down:-0.14:33330.19:29.62:30.05
FTSE:2738.73:Moving down:-2.00:33330.19:29.62:30.05
FTSE:2738.77:Moving up:0.04:33330.19:29.62:30.05
FTSE:2739.01:Moving up:0.24:33330.19:29.62:30.05
FTSE:2738.57:Moving down:-0.44:33330.19:29.62:30.05
FTSE:2739.74:Moving up:1.17:33330.19:29.62:30.05
FTSE:2738.57:Moving down:-1.17:33330.19:29.62:30.05
FTSE:2739.74:Moving up:1.17:33330.19:29.62:30.05
FTSE:2739.82:Moving up:0.08:33330.19:29.62:30.05
FTSE:2739.99:Moving up:0.17:33330.19:29.62:30.05
FTSE:2741.50:Moving up:1.51:33330.19:29.62:30.05
